SignType,Message,FullMessage
IA.1,CHAPEL STORAGE,CHAPEL STORAGE
IA.1,CHAPLAIN,CHAPLAIN
IA.1,CHARGE NURSE,CHARGE NURSE
IA.1,CHIEF EXECUTIVE OFFICER,CHIEF EXECUTIVE OFFICER
IA.1,CHIEF FINANCIAL OFFICER,CHIEF FINANCIAL OFFICER
IA.1,CHIEF MEDICAL OFFICER,CHIEF MEDICAL OFFICER
IA.1,CHIEF NURSING OFFICER,CHIEF NURSING OFFICER
IA.1,CHIEF OPERATING OFFICER,CHIEF OPERATING OFFICER
IA.1,CHIEF QUALITY OFFICER,CHIEF QUALITY OFFICER
IA.1,CHILLER ROOM,CHILLER ROOM
IA.1,CLASSOOM,CLASSOOM
IA.1,CLASSROOM,CLASSROOM
IA.1,CLASSROOM / LAB / PHARMACY CORRIDOR,CLASSROOM / LAB / PHARMACY CORRIDOR
IA.1,CLASSROOM 4,CLASSROOM 4
IA.1,CLEAN AREA,CLEAN AREA
IA.1,CLEAN HOLD,CLEAN HOLD
IA.1,CLEAN LINEN,CLEAN LINEN
IA.1,CLEAN LINEN HOLDING,CLEAN LINEN HOLDING
IA.1,CLEAN PROCESSING,CLEAN PROCESSING
IA.1,CLEAN STORAGE,CLEAN STORAGE
IA.1,CLEAN STORAGE / POU,CLEAN STORAGE / POU
IA.1,CLEAN SUPPLY,CLEAN SUPPLY
IA.1,CLEAN SUPPLY ROOM,CLEAN SUPPLY ROOM
IA.1,CLEAN UTIL,CLEAN UTILITY
IA.1,CLEAN UTILITY,CLEAN UTILITY
IA.1,CLEAN UTILITY SHARED SERVICES,CLEAN UTILITY SHARED SERVICES
IA.1,CLEAN WORK/LINEN,CLEAN WORK/LINEN
IA.1,CLEAN WORKROOM,CLEAN WORKROOM
IA.1,CLERK,CLERK
IA.1,CNO OFFICE,CNO OFFICE
IA.1,COFFEE,COFFEE
IA.1,COMM,COMMUNICATIONS
IA.1,COMM ROOM,COMMUNICATIONS ROOM
IA.1,COMMUNICATION,COMMUNICATION
IA.1,COMMUNICATIONS,COMMUNICATIONS
IA.1,COMPUTER TRAINING ROOM,COMPUTER TRAINING ROOM
IA.1,CONFERENCE,CONFERENCE
IA.1,CONFERENCE ROOM,CONFERENCE ROOM
IA.1,CONFERNCE,CONFERNCE
IA.1,CONSULT,CONSULTATION
IA.1,CONSULT ADMIT,CONSULTATION ADMITTING
IA.1,CONSULTATION,CONSULTATION
IA.1,CONSULTATION/OFFICE,CONSULTATION/OFFICE
IA.1,CONTROL,CONTROL
IA.1,CONTROL ROOM,CONTROL ROOM
IA.1,CONTROL STATION,CONTROL STATION
IA.1,COO OFFICE,COO OFFICE
IA.1,COOKS STORAGE,COOKS STORAGE
IA.1,COPY ROOM,COPY ROOM
IA.1,CRASH CART,CRASH CART
IA.1,CT,CT
IA.1,CT CONTROL,CT CONTROL
IA.1,CV STORE ROOM,CV STORE ROOM
IA.1,CYSTO,CYSTO
IA.1,DATA,DATA
IA.1,DAY ROOM,DAY ROOM
IA.1,DAY SURGERY,DAY SURGERY
IA.1,DECON SHOWER,DECON SHOWER
IA.1,DICTATION,DICTATION
IA.1,DIET CLERK OFFICE,DIET CLERK OFFICE
IA.1,DIETARTY RECEIVING,DIETARTY RECEIVING
IA.1,DIETARY,DIETARY
IA.1,DIETARY HOUSEKEEPING,DIETARY HOUSEKEEPING
IA.1,DIETARY STORAGE,DIETARY STORAGE
IA.1,DIETICIAN OFFICE,DIETICIAN OFFICE
IA.1,DIETITIAN,DIETITIAN
IA.1,DINING,DINING
IA.1,DINING/ACTIVITY ROOM,DINING/ACTIVITY ROOM
IA.1,DIRECTOR,DIRECTOR
IA.1,DIRECTOR MAGNET PROGRAM,DIRECTOR MAGNET PROGRAM
IA.1,DIRECTOR OF FACILITIES MANAGEMENT,DIRECTOR OF FACILITIES MANAGEMENT
IA.1,DIRECTOR OF MEDICAL RECORDS,DIRECTOR OF MEDICAL RECORDS
IA.1,DIRECTOR OF RADIOLOGY,DIRECTOR OF RADIOLOGY
IA.1,DIRECTOR OFFICE,DIRECTOR OFFICE
IA.1,DIRECTOR REHAB NURSING,DIRECTOR REHAB NURSING
IA.1,DIRECTOR SUPPLY CHAIN,DIRECTOR SUPPLY CHAIN
IA.1,DOCTOR'S DICTATION,DOCTOR'S DICTATION
IA.1,DRESSING ROOM,DRESSING ROOM
IA.1,DRY STORAGE,DRY STORAGE
IA.1,E P LAB,E P LABORATORY
IA.1,EC,EC
IA.1,ECHO,ECHO
IA.1,ECHO 2,ECHO 2
IA.1,ECHO/VASCULAR,ECHO/VASCULAR
IA.1,ED WAITING,ED WAITING
IA.1,EDU STORAGE,EDU STORAGE
IA.1,EEG,EEG
IA.1,EKG,EKG
IA.1,EKG/BLOOD DRAW,EKG/BLOOD DRAW
IA.1,ELEC,ELECTRICAL
IA.1,ELECTRICAL,ELECTRICAL
IA.1,ELECTRICAL ROOM,ELECTRICAL ROOM
IA.1,ELECTRICAL SWITCH ROOM,ELECTRICAL SWITCH ROOM
IA.1,ELECTRICAL/TELEPHONE,ELECTRICAL/TELEPHONE
IA.1,ELEV,ELEVATOR
IA.1,ELEV LOBBY,ELEVATOR LOBBY
IA.1,ELEVATOR LOBBY,ELEVATOR LOBBY
IA.1,ELEVATOR MACHINE ROOM,ELEVATOR MACHINE ROOM
IA.1,EMERGENCY,EMERGENCY
IA.1,EMERGENCY EXIT PLEASE KEEP DOOR CLOSED,EMERGENCY EXIT PLEASE KEEP DOOR CLOSED
IA.1,EMERGENCY SERVICES,EMERGENCY SERVICES
IA.1,EMS LOUNGE,EMS LOUNGE
IA.1,ENDO STORAGE,ENDO STORAGE
IA.1,ENDOSCOPY,ENDOSCOPY
IA.1,ENGINEERING,ENGINEERING
IA.1,ENGINEERING STORAGE,ENGINEERING STORAGE
IA.1,ENVIR SERV,ENVIROMENTAL SERVICES
IA.1,ENVIROMENTAL SERVICES STORAGE,ENVIROMENTAL SERVICES STORAGE
IA.1,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES
IA.1,EQ STG,EQUIPMENT STORAGE
IA.1,EQUIP STORAGE,EQUIPMENT STORAGE
IA.1,EQUIPMENT,EQUIPMENT
IA.1,EQUIPMENT HOLDING,EQUIPMENT HOLDING
IA.1,EQUIPMENT ROOM,EQUIPMENT ROOM
IA.1,EQUIPMENT STORAGE,EQUIPMENT STORAGE
IA.1,EVS,EVS
IA.1,EXAM,EXAM
IA.1,EXAM 5 ANTE ROOM,EXAM 5 ANTE ROOM
IA.1,EXAM ROOM,EXAM ROOM
IA.1,EXECUTIVE BOARD ROOM,EXECUTIVE BOARD ROOM
IA.1,EXISTING,EXISTING
IA.1,EXIT,EXIT
IA.1,EXIT ONLY,EXIT ONLY
IA.1,EXIT TO CORRIDOR,EXIT TO CORRIDOR
IA.1,EXIT TO LOBBY,EXIT TO LOBBY
IA.1,EXIT TO NON-STERILE AREA,EXIT TO NON-STERILE AREA
IA.1,EXIT TO STAIRWELL,EXIT TO STAIRWELL
IA.1,EXIT TO STERILE CORE,EXIT TO STERILE CORE
IA.1,EXIT TO WAITING ROOM,EXIT TO WAITING ROOM
IA.1,FAMILY CONFERENCE ROOM,FAMILY CONFERENCE ROOM
IA.1,FAMILY CONSULTATION,FAMILY CONSULTATION
IA.1,FAMILY CONSULTATION ROOM,FAMILY CONSULTATION ROOM
IA.1,FAMILY RESOURCE CENTER,FAMILY RESOURCE CENTER
IA.1,FAMILY SUITE,FAMILY SUITE
IA.1,FAMILY WAITING ROOM,FAMILY WAITING ROOM
IA.1,FEMALE LOCKER ROOM,FEMALE LOCKER ROOM
IA.1,FILE ROOM,FILE ROOM
IA.1,FINANCIAL COUNSEL OFFICE,FINANCIAL COUNSEL OFFICE
IA.1,FINANCIAL COUNSELOR,FINANCIAL COUNSELOR
IA.1,FIRE CONTROL,FIRE CONTROL
IA.1,FIRE PUMP ROOM,FIRE PUMP ROOM
IA.1,FIRST RESPONDER LOUNGE,FIRST RESPONDER LOUNGE
IA.1,FOOD & NUTRITION,FOOD & NUTRITION
IA.1,FROZEN SECT LAB / GROSS,FROZEN SECT LABORATORY / GROSS
IA.1,GENERATOR ROOM,GENERATOR ROOM
IA.1,GI LAB,GI LABORATORY
IA.1,GIFT SHOP,GIFT SHOP
IA.1,GIFT SHOP STORAGE,GIFT SHOP STORAGE
IA.1,GROUP THERAPY,GROUP THERAPY
IA.1,GYM,GYM
IA.1,HAZARDOUS WASTE STORAGE,HAZARDOUS WASTE STORAGE
IA.1,HOUSE SUPERVISOR,HOUSE SUPERVISOR
IA.1,HOUSEKEEPING,HOUSEKEEPING
IA.1,HOUSEKEEPING EQUIP / SUPPLIES,HOUSEKEEPING EQUIP / SUPPLIES
IA.1,HOUSEKEEPING OFFICE,HOUSEKEEPING OFFICE
IA.1,HOUSEKEEPING ROOM,HOUSEKEEPING ROOM
IA.1,HR COORDINATOR,HUMAN RESOURCES COORDINATOR
IA.1,HR OFFICE,HR OFFICE
IA.1,HUMAN RESOURCES,HUMAN RESOURCES
IA.1,HUMAN RESOURCES BUSINESS PARTNER,HUMAN RESOURCES BUSINESS PARTNER
IA.1,HYDO THERAPY ROOM,HYDO THERAPY ROOM
IA.1,HYPERBARIC MEDICINE,HYPERBARIC MEDICINE
IA.1,IMAGING,IMAGING
IA.1,IMAGING CORRIDOR,IMAGING CORRIDOR
IA.1,IMAGING SERVICES REGISTRATION,IMAGING SERVICES REGISTRATION
IA.1,IMAGING/SURGERY WAITING,IMAGING/SURGERY WAITING
IA.1,IMPLANT ROOM,IMPLANT ROOM
IA.1,INFORMATION SYSTEMS,INFORMATION SYSTEMS
IA.1,INTERVENTIONAL RADIOLOGY 2,INTERVENTIONAL RADIOLOGY 2
IA.1,INTERVENTIONAL RADIOLOGY CONTROL ROOM,INTERVENTIONAL RADIOLOGY CONTROL ROOM
IA.1,INTERVIEW ROOM,INTERVIEW ROOM
IA.1,ISOLATION,ISOLATION
IA.1,ISOLATION ROOM,ISOLATION ROOM
IA.1,IT,IT
IA.1,IT STORAGE,IT STORAGE
IA.1,IT WORK,IT WORK
IA.1,JANITOR,JANITOR
IA.1,JANITORIAL CLOSET,JANITORIAL CLOSET
IA.1,JC,JANITORIAL CLOSET
IA.1,KITCHEN,KITCHEN
IA.1,LAB,LABORATORY
IA.1,LAB DIRECTOR,LABORATORY DIRECTOR
IA.1,LAB PROCESSING,LABORATORY PROCESSING
IA.1,LABORATORY,LABORATORY
IA.1,LACTATION ROOM,LACTATION ROOM
IA.1,LAUNDRY,LAUNDRY
IA.1,LINEN ROOM,LINEN ROOM
IA.1,LOADING DOCK,LOADING DOCK
IA.1,LOCKABLE STORAGE,LOCKABLE STORAGE
IA.1,MAIL ROOM,MAIL ROOM
IA.1,MAINT/REC,MAINT/REC
IA.1,MAINTENANCE OFFICE,MAINTENANCE OFFICE
IA.1,MALE DOCTORS' LOCKERS,MALE DOCTORS' LOCKERS
IA.1,MALE LOCKER ROOM,MALE LOCKER ROOM
IA.1,MAMMOGRAPHY DEPARTMENT,MAMMOGRAPHY DEPARTMENT
IA.1,MANAGER,MANAGER
IA.1,MANAGER OF FACILITIES MANAGEMENT,MANAGER OF FACILITIES MANAGEMENT
IA.1,MANAGER OFFICE,MANAGER OFFICE
IA.1,MANUAL WIPEDOWN,MANUAL WIPEDOWN
IA.1,MATERIALS MANAGEMENT,MATERIALS MANAGEMENT
IA.1,MDF IT COMP,MDF IT COMP
IA.1,MECH,MECHANICAL ROOM
IA.1,MECH RM,MECHANICAL ROOM
IA.1,MECHANICAL,MECHANICAL
IA.1,MECHANICAL ROOM,MECHANICAL ROOM
IA.1,MECHANICAL ROOM 12,MECHANICAL ROOM 12
IA.1,MECHANICAL ROOM 13,MECHANICAL ROOM 13
IA.1,MECHANICAL ROOM 4,MECHANICAL ROOM 4
IA.1,MECHANICAL ROOM AUTHORIZED PERSONNEL ONLY,MECHANICAL ROOM AUTHORIZED PERSONNEL ONLY
IA.1,MED PREP,MED PREP
IA.1,MED RM,MED ROOM
IA.1,MED VAC,MED VAC
IA.1,MEDICAL IMAGING FILE ROOM,MEDICAL IMAGING FILE ROOM
IA.1,MEDICAL RECORDS,MEDICAL RECORDS
IA.1,MEDICAL STAFF SERVICES,MEDICAL STAFF SERVICES
IA.1,MEDICATION,MEDICATION
IA.1,MEDICATION ROOM,MEDICATION ROOM
IA.1,MEDICATIONS,MEDICATIONS
IA.1,MEDS,MEDS
IA.1,MEETING ROOM,MEETING ROOM
IA.1,MEETING ROOM A,MEETING ROOM A
IA.1,MEETING ROOM B,MEETING ROOM B
IA.1,MEHCANICAL ROOM,MEHCANICAL ROOM
IA.1,MEN SURGERY STAFF,MEN SURGERY STAFF
IA.1,MENS LOCKER,MENS LOCKER
IA.1,MESSAGE TBD,MESSAGE TBD
IA.1,MGR OFFICE,MANAGER OFFICE
IA.1,MICROBIOLOGY,MICROBIOLOGY
IA.1,MRI,MRI
IA.1,MRI / ULTRASOUND,MRI / ULTRASOUND
IA.1,MRI CTRL,MRI CTRL
IA.1,MRI EQ,MRI EQ
IA.1,MRI HOLD,MRI HOLD
IA.1,MULTIPURPOSE,MULTIPURPOSE
IA.1,NEONATOLOGIST OFFICE,NEONATOLOGIST OFFICE
IA.1,NEWBORN NURSERY,NEWBORN NURSERY
IA.1,NICU,NICU
IA.1,NICU AUTHORIZED PERSONNEL ONLY,NICU AUTHORIZED PERSONNEL ONLY
IA.1,NON-FOOD STORAGE,NON-FOOD STORAGE
IA.1,NONSTERILE HAZARDOUS COMPOUNDING ROOM,NONSTERILE HAZARDOUS COMPOUNDING ROOM
IA.1,NORMAL,NORMAL
IA.1,NOURISH,NOURISHMENT
IA.1,NOURISHMENT,NOURISHMENT
IA.1,NOURISHMENT ROOM,NOURISHMENT ROOM
IA.1,NUCLEAR MEDICINE,NUCLEAR MEDICINE
IA.1,NUCLEAR MEDICINE 1,NUCLEAR MEDICINE 1
IA.1,NUCLEAR MEDICINE 2,NUCLEAR MEDICINE 2
IA.1,NURSE NAVIGATION DEPARTMENT,NURSE NAVIGATION DEPARTMENT
IA.1,NURSERY & PATIENT SUITES,NURSERY & PATIENT SUITES
IA.1,OBSERVATION ROOM A,OBSERVATION ROOM A
IA.1,OBSERVATION ROOM B,OBSERVATION ROOM B
IA.1,OCCUPATIONAL THERAPY,OCCUPATIONAL THERAPY
IA.1,OFFICE,OFFICE
IA.1,OPERATOR OFFICE,OPERATOR OFFICE
IA.1,OR DIRECTOR,OR DIRECTOR
IA.1,OR MATERIALS MANAGEMENT OFFICE,OR MATERIALS MANAGEMENT OFFICE
IA.1,OR STORAGE 1,OR STORAGE 1
IA.1,ORTHO STORAGE,ORTHO STORAGE
IA.1,ORTHOPEDIC PROGRAM DIRECTOR,ORTHOPEDIC PROGRAM DIRECTOR
IA.1,P.A.T.,P.A.T.
IA.1,PACU,PACU
IA.1,PACU DIRECTOR,PACU DIRECTOR
IA.1,PACU ISOLATION,PACU ISOLATION
IA.1,PACU RECOVERY,PACU RECOVERY
IA.1,PACU RESTRICTED AREA,PACU RESTRICTED AREA
IA.1,PALLIATIVE CARE PROGRAM COORDINATOR,PALLIATIVE CARE PROGRAM COORDINATOR
IA.1,PATH OFFICE,PATH OFFICE
IA.1,PATHOLOGY,PATHOLOGY
IA.1,PATIENT ELEVATOR LOBBY,PATIENT ELEVATOR LOBBY
IA.1,PATIENT LOUNGE,PATIENT LOUNGE
IA.1,PFT,PFT
IA.1,PHARMACY,PHARMACY
IA.1,PHYSICAL & OCCUPATIONAL THERAPY,PHYSICAL & OCCUPATIONAL THERAPY
IA.1,PHYSICAL THERAPY 1,PHYSICAL THERAPY 1
IA.1,PHYSICAL THERAPY CHECK-IN,PHYSICAL THERAPY CHECK-IN
IA.1,PHYSICAL THERAPY TRACTION ROOM,PHYSICAL THERAPY TRACTION ROOM
IA.1,"PHYSICAL, CARDIAC AND PULMONARY REHAB","PHYSICAL, CARDIAC AND PULMONARY REHAB"
IA.1,PHYSICIAN WORK ROOM,PHYSICIAN WORK ROOM
IA.1,PHYSICIAN WORKROOM,PHYSICIAN WORKROOM
IA.1,PHYSICIANS LOUNGE,PHYSICIANS LOUNGE
IA.1,PHYSICIANS ONLY,PHYSICIANS ONLY
IA.1,PLANT OPERATIONS,PLANT OPERATIONS
IA.1,PLANT OPERATIONS SHOP,PLANT OPERATIONS SHOP
IA.1,PLANT OPS,PLANT OPS
IA.1,PLAY AREA,PLAY AREA
IA.1,PPS COORDINATOR,PPS COORDINATOR
IA.1,PRE-ADMISSION TESTING,PRE-ADMISSION TESTING
IA.1,PRE-OP,PRE-OP
IA.1,PRE-OP CORRIDOR,PRE-OP CORRIDOR
IA.1,PRE-OP HOLDING,PRE-OP HOLDING
IA.1,PROCESSOR ROOM,PROCESSOR ROOM
IA.1,PROGRAM DIRECTOR,PROGRAM DIRECTOR
IA.1,PROJECT MANAGER,PROJECT MANAGER
IA.1,PSYCHIATRIC ADMISSIONS OFFICE,PSYCHIATRIC ADMISSIONS OFFICE
IA.1,PT TRACTION,PT TRACTION
IA.1,PULMONARY FUNCTION TESTING,PULMONARY FUNCTION TESTING
IA.1,QUALITY DIRECTOR,QUALITY DIRECTOR
IA.1,QUALITY MANAGEMENT,QUALITY MANAGEMENT
IA.1,R/F,R/F
IA.1,RAD,RAD
IA.1,RAD 2,RAD 2
IA.1,RAD ROOM 1,RAD ROOM 1
IA.1,RAD ROOM 2,RAD ROOM 2
IA.1,RADIOLOGIST,RADIOLOGIST
IA.1,RADIOLOGIST READING,RADIOLOGIST READING
IA.1,RADIOLOGY,RADIOLOGY
IA.1,RADIOLOGY CONTROL ROOM,RADIOLOGY CONTROL ROOM
IA.1,RADIOLOGY WAITING,RADIOLOGY WAITING
IA.1,RCPS - PARALLON RING BELL FOR ASSISTANCE,RCPS - PARALLON RING BELL FOR ASSISTANCE
IA.1,READ,READ
IA.1,READING ROOM,READING ROOM
IA.1,RECEIVING,RECEIVING
IA.1,RECEPTION,RECEPTION
IA.1,RECEPTION COORDINATOR,RECEPTION COORDINATOR
IA.1,RECOVERY AREA,RECOVERY AREA
IA.1,RECOVERY ROOM,RECOVERY ROOM
IA.1,RECYCLE,RECYCLE
IA.1,REGISTRATION,REGISTRATION
IA.1,REGISTRATION 1,REGISTRATION 1
IA.1,REGISTRATION 2,REGISTRATION 2
IA.1,REGISTRATION 4,REGISTRATION 4
IA.1,REGISTRATION 5,REGISTRATION 5
IA.1,REHAB CARE CENTER,REHAB CARE CENTER
IA.1,REHAB GYM,REHAB GYM
IA.1,REHAB SERVICES,REHAB SERVICES
IA.1,RISK MANAGEMENT,RISK MANAGEMENT
IA.1,RO WATER,RO WATER
IA.1,ROBOTIC EDUCATION CLASSROOM,ROBOTIC EDUCATION CLASSROOM
IA.1,SCOPE CLEAN/STORAGE,SCOPE CLEAN/STORAGE
IA.1,SECURE STORAGE,SECURE STORAGE
IA.1,SECURITY,SECURITY
IA.1,SERENITY ROOM,SERENITY ROOM
IA.1,SERVICE COORDINATOR,SERVICE COORDINATOR
IA.1,SHARED SERVICES,SHARED SERVICES
IA.1,SHOWER ROOM,SHOWER ROOM
IA.1,SLEEP LAB 1,SLEEP LABORATORY 1
IA.1,SLEEP LAB 2,SLEEP LABORATORY 2
IA.1,SLEEP ROOM,SLEEP ROOM
IA.1,SOCIAL SERVICES,SOCIAL SERVICES
IA.1,SOCIAL WORKER,SOCIAL WORKER
IA.1,SPECIAL PROCEDURES ROOM,SPECIAL PROCEDURES ROOM
IA.1,SPECIAL TREATMENT ROOM 1,SPECIAL TREATMENT ROOM 1
IA.1,SPECIAL TREATMENT ROOM 2,SPECIAL TREATMENT ROOM 2
IA.1,SPEECH PATHOLOGIST,SPEECH PATHOLOGIST
IA.1,SPEECH THERAPY 1,SPEECH THERAPY 1
IA.1,SPEECH THERAPY 2,SPEECH THERAPY 2
IA.1,SPEECH THERAPY 3,SPEECH THERAPY 3
IA.1,STAFF BREAKROOM,STAFF BREAKROOM
IA.1,STAFF DEVELOPMENT,STAFF DEVELOPMENT
IA.1,STAFF ELEV LOBBY,STAFF ELEVATOR LOBBY
IA.1,STAFF LOUNGE,STAFF LOUNGE
IA.1,STAFF LOUNGE EMPLOYEES ONLY,STAFF LOUNGE EMPLOYEES ONLY
IA.1,STAFF ONLY,STAFF ONLY
IA.1,STAFF VENDING,STAFF VENDING
IA.1,STAFF WORK RM,STAFF WORK ROOM
IA.1,STAIRS EXIT ONLY NO RE-ENTRY,STAIRS EXIT ONLY NO RE-ENTRY
IA.1,STEM CELL LAB,STEM CELL LAB
IA.1,STERILE CORE,STERILE CORE
IA.1,STERILE STORAGE,STERILE STORAGE
IA.1,STERILIZED STORAGE,STERILIZED STORAGE
IA.1,STORAGE,STORAGE
IA.1,STORAGE / CLEEN WHEELCHAIR ROOM,STORAGE / CLEEN WHEELCHAIR ROOM
IA.1,STRESS,STRESS
IA.1,SU,SU
IA.1,SUB WAIT,SUB WAIT
IA.1,SUB WAITING,SUB WAITING
IA.1,SUB-STERILE AREA,SUB-STERILE AREA
IA.1,SUPPLIES,SUPPLIES
IA.1,SUPPLY ROOM,SUPPLY ROOM
IA.1,SUPPLY ROOM 2,SUPPLY ROOM 2
IA.1,SURGERY,SURGERY
IA.1,SURGERY CENTER LOBBY,SURGERY CENTER LOBBY
IA.1,SURGERY LOUNGE,SURGERY LOUNGE
IA.1,SURGERY WAITING ROOM,SURGERY WAITING ROOM
IA.1,SURGICAL SERVICES,SURGICAL SERVICES
IA.1,TBD,TBD
IA.1,TELEPHONE,TELEPHONE
IA.1,TELEPHONE EQUIPMENT ROOM,TELEPHONE EQUIPMENT ROOM
IA.1,THE FOUNDERS ROOM,THE FOUNDERS ROOM
IA.1,THERAPY ROOM,THERAPY ROOM
IA.1,TO MAIN ER & REGISTRATION,TO MAIN ER & REGISTRATION
IA.1,TRASH COLLECTION,TRASH COLLECTION
IA.1,TRASH HOLD,TRASH HOLD
IA.1,TRAUMA,TRAUMA
IA.1,TRAUMA SERVICES,TRAUMA SERVICES
IA.1,TRAY ASSEMBLY,TRAY ASSEMBLY
IA.1,TREATMENT ROOM,TREATMENT ROOM
IA.1,TRIAGE,TRIAGE
IA.1,TUB ROOM,TUB ROOM
IA.1,TUB/SHOWER ROOM,TUB/SHOWER ROOM
IA.1,ULTRASOUND,ULTRASOUND
IA.1,ULTRASOUND 3,ULTRASOUND 3
IA.1,UPS,UPS
IA.1,UPS ROOM,UPS ROOM
